# freq,psd
3.026804284475887591e-02,3.294574652351893451e-02
3.026804284475887591e-02,3.197822610657736347e-02
3.058148799771373202e-02,3.197822610657736347e-02
3.089817907788016543e-02,3.197822610657736347e-02
3.121814969893306480e-02,3.197822610657736347e-02
3.026804284475887591e-02,3.103911894038822658e-02
3.058148799771373202e-02,3.103911894038822658e-02
3.089817907788016543e-02,3.103911894038822658e-02
3.121814969893306480e-02,3.103911894038822658e-02
3.154143382263862455e-02,3.103911894038822658e-02
3.186806576245910377e-02,3.103911894038822658e-02
1.464023670272958932e-01,3.103911894038822658e-02
1.479184581918678576e-01,3.103911894038822658e-02
1.494502494606524123e-01,3.103911894038822658e-02
3.026804284475887591e-02,3.012759061070643257e-02
3.058148799771373202e-02,3.012759061070643257e-02
3.089817907788016543e-02,3.012759061070643257e-02
3.121814969893306480e-02,3.012759061070643257e-02
3.154143382263862455e-02,3.012759061070643257e-02
3.186806576245910377e-02,3.012759061070643257e-02
3.219808018719484688e-02,3.012759061070643257e-02
3.253151212466402764e-02,3.012759061070643257e-02
3.286839696542056405e-02,3.012759061070643257e-02
1.464023670272958932e-01,3.012759061070643257e-02
1.479184581918678576e-01,3.012759061070643257e-02
1.494502494606524123e-01,3.012759061070643257e-02
1.509979034183792923e-01,3.012759061070643257e-02
1.525615843334482136e-01,3.012759061070643257e-02
1.541414581753644542e-01,3.012759061070643257e-02
3.154143382263862455e-02,2.924283120759783861e-02
3.186806576245910377e-02,2.924283120759783861e-02
3.219808018719484688e-02,2.924283120759783861e-02
3.253151212466402764e-02,2.924283120759783861e-02
3.286839696542056405e-02,2.924283120759783861e-02
3.320877046651038444e-02,2.924283120759783861e-02
3.355266875526680126e-02,2.924283120759783861e-02
3.390012833314499235e-02,2.924283120759783861e-02
1.464023670272958932e-01,2.924283120759783861e-02
1.479184581918678576e-01,2.924283120759783861e-02
1.494502494606524123e-01,2.924283120759783861e-02
1.509979034183792923e-01,2.924283120759783861e-02
1.525615843334482136e-01,2.924283120759783861e-02
1.541414581753644542e-01,2.924283120759783861e-02
1.557376926323547905e-01,2.924283120759783861e-02
1.573504571291659548e-01,2.924283120759783861e-02
1.589799228450475554e-01,2.924283120759783861e-02
3.253151212466402764e-02,2.838405460581923043e-02
3.286839696542056405e-02,2.838405460581923043e-02
3.320877046651038444e-02,2.838405460581923043e-02
3.355266875526680126e-02,2.838405460581923043e-02
3.390012833314499235e-02,2.838405460581923043e-02
3.425118607959629080e-02,2.838405460581923043e-02
3.460587925598261616e-02,2.838405460581923043e-02
3.496424550953135257e-02,2.838405460581923043e-02
1.362160203551272541e-01,2.838405460581923043e-02
1.509979034183792923e-01,2.838405460581923043e-02
1.525615843334482136e-01,2.838405460581923043e-02
1.541414581753644542e-01,2.838405460581923043e-02
1.557376926323547905e-01,2.838405460581923043e-02
1.573504571291659548e-01,2.838405460581923043e-02
1.589799228450475554e-01,2.838405460581923043e-02
1.606262627319209602e-01,2.838405460581923043e-02
1.622896515327364453e-01,2.838405460581923043e-02
1.639702658000206648e-01,2.838405460581923043e-02
3.320877046651038444e-02,2.755049776633132497e-02
3.355266875526680126e-02,2.755049776633132497e-02
3.390012833314499235e-02,2.755049776633132497e-02
3.425118607959629080e-02,2.755049776633132497e-02
3.460587925598261616e-02,2.755049776633132497e-02
3.496424550953135257e-02,2.755049776633132497e-02
1.348198734005281452e-01,2.755049776633132497e-02
1.362160203551272541e-01,2.755049776633132497e-02
1.376266253140966678e-01,2.755049776633132497e-02
1.573504571291659548e-01,2.755049776633132497e-02
1.589799228450475554e-01,2.755049776633132497e-02
1.606262627319209602e-01,2.755049776633132497e-02
1.622896515327364453e-01,2.755049776633132497e-02
1.639702658000206648e-01,2.755049776633132497e-02
1.656682839146156327e-01,2.755049776633132497e-02
1.673838861046125226e-01,2.755049776633132497e-02
3.425118607959629080e-02,2.674142005832431251e-02
3.460587925598261616e-02,2.674142005832431251e-02
3.496424550953135257e-02,2.674142005832431251e-02
1.334380362628929950e-01,2.674142005832431251e-02
1.348198734005281452e-01,2.674142005832431251e-02
1.362160203551272541e-01,2.674142005832431251e-02
1.376266253140966678e-01,2.674142005832431251e-02
1.606262627319209602e-01,2.674142005832431251e-02
1.622896515327364453e-01,2.674142005832431251e-02
1.639702658000206648e-01,2.674142005832431251e-02
1.656682839146156327e-01,2.674142005832431251e-02
1.673838861046125226e-01,2.674142005832431251e-02
1.691172544644807263e-01,2.674142005832431251e-02
3.757890070913538078e-02,2.595610260115363208e-02
3.796805452198887681e-02,2.595610260115363208e-02
1.348198734005281452e-01,2.595610260115363208e-02
1.362160203551272541e-01,2.595610260115363208e-02
1.656682839146156327e-01,2.595610260115363208e-02
1.673838861046125226e-01,2.595610260115363208e-02
3.757890070913538078e-02,2.519384762560106586e-02
3.796805452198887681e-02,2.519384762560106586e-02
3.836123827417534798e-02,2.519384762560106586e-02
3.757890070913538078e-02,2.445397785389372136e-02
3.796805452198887681e-02,2.445397785389372136e-02
3.836123827417534798e-02,2.445397785389372136e-02
1.817639826373443623e-01,2.445397785389372136e-02
3.836123827417534798e-02,2.373583589793017146e-02
4.165688591586653305e-02,2.373583589793017146e-02
1.241537185006411498e-01,2.373583589793017146e-02
1.254394105252276681e-01,2.373583589793017146e-02
1.817639826373443623e-01,2.373583589793017146e-02
1.836462661940201913e-01,2.373583589793017146e-02
1.855480420138843900e-01,2.373583589793017146e-02
4.165688591586653305e-02,2.303878367517881581e-02
4.208826990208893587e-02,2.303878367517881581e-02
4.252412114839275448e-02,2.303878367517881581e-02
1.228812041845209480e-01,2.303878367517881581e-02
1.241537185006411498e-01,2.303878367517881581e-02
1.254394105252276681e-01,2.303878367517881581e-02
1.267384167219714752e-01,2.303878367517881581e-02
1.799009915577832186e-01,2.303878367517881581e-02
1.817639826373443623e-01,2.303878367517881581e-02
1.836462661940201913e-01,2.303878367517881581e-02
1.855480420138843900e-01,2.303878367517881581e-02
4.122992340251536297e-02,2.236220184172959397e-02
4.165688591586653305e-02,2.236220184172959397e-02
4.208826990208893587e-02,2.236220184172959397e-02
4.252412114839275448e-02,2.236220184172959397e-02
4.296448591614441398e-02,2.236220184172959397e-02
4.340941094577662612e-02,2.236220184172959397e-02
4.385894346174950414e-02,2.236220184172959397e-02
4.431313117756303932e-02,2.236220184172959397e-02
1.203751698020068678e-01,2.236220184172959397e-02
1.216217325118614800e-01,2.236220184172959397e-02
